id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
shanx001,Tiqi gege zou xikou,,"Asia, China, Shanxi Norden, Hequ",,,Han,,,,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,"Shange, Shanqu. Qingge",,,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx001.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx001.krn,shanx001.krn,kern,dfbc9da1098c7c9b1c2ffd6e7deecf8a
shanx002,Yila yiche hao nanhuo,,"Asia, China, Shanxi Hequ",,,Han,,,,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Shange, Shanqu. Qingge",,,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx002.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx002.krn,shanx002.krn,kern,9bbe4abc8f0600f0027e6ae3e1e21536
shanx003,Zheng buxia yinqian guobuliao,,"Asia, China, Shanxi Hequ",,,Han,,,,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Shange, Shanqu. Qingge",,,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx003.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx003.krn,shanx003.krn,kern,b4c10e7ab42ca1ff178c8b2075deb5d9
shanx004,Zheyizao zoule shenhuir jian,,"Asia, China, Shanxi Hequ",,,Han,,,,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Shange, Shanqu. Qingge",,,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx004.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx004.krn,shanx004.krn,kern,edb246ef18d1946ec8337d5dc5aea443
shanx005,Zhen hunhun genzai ni houtou,,"Asia, China, Shanxi Hequ",,,Han,,,,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,"Shange, Shanqu. Qingge",,,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx005.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx005.krn,shanx005.krn,kern,a251c2d019c72667fb5e4a3f9b427006
shanx006,Zhen hunhun genshang ni zoule,,"Asia, China, Shanxi Hequ",,,Han,,,,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Shange, Shanqu. Qingge",,,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx006.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx006.krn,shanx006.krn,kern,3ef6b345f60867e7d378feb3aba28831
shanx007,Shoujin calei zhan bugan,,"Asia, China, Shanxi Hequ",,,Han,,,,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Shange, Shanqu. Qingge",,,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx007.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx007.krn,shanx007.krn,kern,a28e1e287674501609971bec376793d5
shanx008,Shanhu he dangzhu ni zhe huilai,,"Asia, China, Shanxi Hequ",,,Han,,,,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Shange, Shanqu. Qingge",,,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx008.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx008.krn,shanx008.krn,kern,ad294f6c5a6cef9d1b27a7919708c140
shanx009,Liao bujian meizi shan dangzhule,,"Asia, China, Shanxi Hequ",,,Han,,,,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Shange, Shanqu. Qingge",,,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx009.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx009.krn,shanx009.krn,kern,e174f47d91aa4738ff8e9d55e1b1f0db
shanx010,Tianhe shuige liangtou qi,,"Asia, China, Shanxi Hequ",,,Han,,,,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Shange, Shanqu. Qingge",,,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx010.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx010.krn,shanx010.krn,kern,a1917ba511af9508a8bd42482297ba66
